DC_Code,DC_Name,barcode,stock_no,description_1,description_2,category,category_name,total_inventory,shipping_qty,allocate_qty,blocked_qty,available_qty,arrival_qty,expected_inventory,order_point,unit,uodate_date
02,DC02,4560441268071,ST-2051P,ウェーブスツールDX ブラック,,2HA2,理美容・ヘア,0,0,0,0,0,75,75,59,PC,1900/01/01 00:00:00

02,DC02,4560441268378,PD-0234P,Wave Master（ウェーブマスター） レッド,,2HA2,理美容・ヘア,7,0,0,0,7,0,7,0,PC,2020/01/07 15:26:21

02,DC02,4560441268545,DO-0607P,有孔スタンダードマッサージベッドS-5DX（W65本体のみ）,,2ES2,エステティック,60,0,0,0,60,0,60,90,PC,2020/07/31 10:54:09

02,DC02,4560441268552,DO-0608P,有孔スタンダードマッサージベッドS-5DX（W65本体のみ）,,2ES2,エステティック,12,0,0,0,12,0,12,415,PC,2020/08/03 15:09:49

02,DC02,4560441268576,DO-0610P,有孔ワイドマッサージベッドW-5DX（W70本体のみ）,,2ES2,エステティック,1,0,0,0,1,0,1,316,PC,2020/07/15 15:12:08

02,DC02,4560441268606,DO-0597P,高さ50cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,95,0,0,0,95,0,95,207,PC,2020/07/31 14:29:45

02,DC02,4560441268613,DO-0598P,高さ50cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,69,0,0,0,69,0,69,162,PC,2020/08/04 16:40:30

02,DC02,4560441268620,DO-0599P,高さ55cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,97,1,0,0,96,0,96,177,PC,2020/07/30 14:58:27

02,DC02,4560441268637,DO-0600P,高さ55cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,77,0,0,0,77,0,77,219,PC,2020/07/31 14:30:15

02,DC02,4560441268644,DO-0601P,高さ60cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,83,0,0,0,83,0,83,154,PC,2020/07/30 15:07:00

02,DC02,4560441268651,DO-0602P,高さ60cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,86,0,0,0,86,0,86,106,PC,2020/08/03 14:30:26

02,DC02,4560441268668,DM-9317P,手動昇降リクライニングベッドDX（フェイスマット付）,,2ES2,エステティック,1,0,0,0,1,0,1,83,PC,2020/07/31 10:39:29

02,DC02,4560441268675,DM-9315P,手動昇降リクライニングベッドDX（フェイスマット付）,,2ES2,エステティック,18,0,0,0,18,0,18,37,PC,2020/07/29 14:50:33

02,DC02,4560441268682,DM-9322P,電動昇降リクライニングベッドEX（オメガ式・フェイスマット付）,,2ES2,エステティック,11,1,0,0,10,0,10,0,PC,2020/07/31 14:13:44

02,DC02,4560441268699,DM-9320P,電動昇降リクライニングベッドEX ダークブラウン（オメガ式・フェイスマット付）,,2ES2,エステティック,22,0,0,0,22,16,38,0,PC,2020/08/04 16:10:07

02,DC02,4560441268934,PO-0444P,Swing Belle （スイングベル・ベース） ブラウン,,2HA2,理美容・ヘア,43,1,1,0,42,0,42,0,PC,2020/08/03 13:53:14

02,DC02,4560441268989,PO-0222P,Swing Belle （スイングベル・ベース） ホワイト,,2HA2,理美容・ヘア,21,0,0,0,21,0,21,0,PC,2020/08/04 10:54:19

02,DC02,4560441268996,PO-0225P,Swing Belle （スイングベル・ベース） ブラック,,2HA2,理美容・ヘア,36,0,0,0,36,0,36,0,PC,2020/07/27 13:26:09

02,DC02,4560441269009,PO-0227P,Swing Belle （スイングベル・ベース） シルバー,,2HA2,理美容・ヘア,21,0,0,0,21,0,21,0,PC,2020/08/04 10:53:06

02,DC02,4560441269016,PO-0439P,Swing Belle （スイングベル・ベース） ウォールナット,,2HA2,理美容・ヘア,6,0,0,0,6,0,6,0,PC,2020/07/29 16:53:46

02,DC02,4560441269047,PO-0430P,Wave Master（ウェーブマスター）ベース,,2HA2,理美容・ヘア,16,0,0,0,16,0,16,0,PC,2020/03/02 11:27:50

02,DC02,4560441269092,PO-0442P,SwingTouch3D（スイングタッチ）ベース ブラウン,,2HA2,理美容・ヘア,4,0,0,0,4,0,4,0,PC,2020/08/03 15:34:03

02,DC02,4560441269115,PO-0448P,SwingTouch3D（スイングタッチ）ベース ガンメタリック,,2HA2,理美容・ヘア,7,0,0,0,7,0,7,0,PC,2020/08/04 11:16:18

02,DC02,4560441269382,DO-0603P,高さ65cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,30,0,0,0,30,0,30,0,PC,2020/07/06 15:51:13

02,DC02,4560441269399,DO-0604P,高さ65cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,36,2,2,0,34,0,34,37,PC,2020/08/03 14:32:25

02,DC02,4560441269405,DO-0605P,高さ70cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,8,0,0,0,8,76,84,40,PC,2020/08/03 14:30:55

02,DC02,4560441269412,DO-0606P,高さ70cm用脚部（S-5DX/W-5DX/K-5DX/CARNA用）,,2ES2,エステティック,27,0,0,0,27,0,27,39,PC,2020/08/03 14:31:38

02,DC02,4571308044165,SO-4891P,ステンレス丸盤ベースHD-2M,,2HA2,理美容・ヘア,369,22,9,0,347,153,500,3,PC,2020/08/04 11:29:54

02,DC02,4573191230489,DX-1579P,電動ラウンジチェア SHIFFON Jr （シフォンジュニア）（ダークブラウン）,,2ES2,エステティック,51,5,1,0,46,0,46,127,PC,2020/08/04 17:08:49

02,DC02,4573191231424,AW-0113P,フットケアステージHD-010,,2NA2,ネイル,1,0,0,0,1,0,1,2,PC,2020/05/19 16:25:43

02,DC02,4573191233107,YC-0002P,リクライニングチェアステージホワイト,,2EL2,アイラッシュ,1,0,0,0,1,0,1,14,PC,2020/05/19 16:25:55

02,DC02,4573191233183,DO-0643P,【CARNA-S】有孔低反発スタンダードマッサージベッド「カルナS」（W65本体,,2ES2,エステティック,1,0,0,0,1,0,1,0,PC,2020/05/18 11:40:21

02,DC02,4573191233190,DO-0644P,【CARNA-S】有孔低反発スタンダードマッサージベッド「カルナS」（W65本体,,2ES2,エステティック,21,2,2,0,19,0,19,0,PC,2020/07/31 14:30:15

02,DC02,4573191233213,DO-0646P,【CARNA-W】有孔低反発ワイドマッサージベッド「カルナW」（W70本体のみ）,,2ES2,エステティック,1,0,0,0,1,0,1,0,PC,2020/07/30 14:58:27

02,DC02,4573191233220,DO-0647P,【CARNA-K】有孔低反発キングマッサージベッド「カルナK」（W75本体のみ）,,2ES2,エステティック,1,0,0,0,1,0,1,0,PC,2020/01/14 14:15:03

02,DC02,4573191233237,DO-0648P,【CARNA-K】有孔低反発キングマッサージベッド「カルナK」（W75本体のみ）,,2ES2,エステティック,1,0,0,0,1,0,1,0,PC,2020/08/03 14:31:38

02,DC02,4573191233473,AS-1404P,Laluce（ラルーチェ）スツール,,2NA2,ネイル,20,0,0,0,20,0,20,0,PC,2020/06/11 13:08:29

02,DC02,4573191233503,BS-1752P,シャンプーボール「S-GRANDE α,,,,30,0,0,0,30,0,30,0,PC,2020/07/31 13:33:12

02,DC02,4573191233527,BS-1756P,シャンプーボール「S-GRANDE β,,2HA2,理美容・ヘア,58,0,0,0,58,0,58,0,PC,2020/06/29 15:48:48

02,DC02,4573191233534,BS-1798P,シャンプースタンド（本体） ブラック/ブラック,,2HA2,理美容・ヘア,3,1,1,0,2,0,2,1,PC,2020/07/28 11:41:52

02,DC02,4573191233541,BS-1852P,移動シャンプーボール【LEO-S】 ブラック,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,10,PC,2020/06/08 10:48:05

02,DC02,4573191233589,CE-1536P,マクラ付移動シャンプーチェア【LEO】,,2HA2,理美容・ヘア,8,0,0,0,8,0,8,9,PC,2020/08/04 17:52:58

02,DC02,4573191233626,DX-1388P,ラウンジチェア（オットマン付）BT-7222（ダークブラウン）,,2ES2,エステティック,16,0,0,0,16,8,24,55,PC,2020/08/04 17:10:18

02,DC02,4573191233633,DX-1394P,ラウンジチェア（オットマン付）BT-7222（アイボリー）,,2ES2,エステティック,19,0,0,0,19,0,19,52,PC,2020/08/04 17:11:51

02,DC02,4573191233640,DX-1421P,ラウンジチェアDX（レッグレスト連動タイプ）（アイボリー）,,2ES2,エステティック,40,3,3,0,37,0,37,145,PC,2020/07/31 13:09:05

02,DC02,4573191233695,KO-1486P,SPAZIO MACARO用シャンプースタンド（本体） ブラック,,2HA2,理美容・ヘア,46,0,0,0,46,0,46,0,PC,2020/07/06 10:03:56

